RIC,WeeklyPrice,Dateweek,issuedate,Currency,Countryissd,Amountissd,RRating,Industry,treat,gbd,dummynewlyissued,dummypricesoilplunge,currency_group,countryissd_group,rr4ting_group,industry_group,idrics,resmatr,logresmatr,duration,duplicates,cyg1,cyg2,cyg3,cyg4,cyg5,cyg6,cyg7,cyg8,cyg9,cyg10,cyg11,cyg12,cyg13,cyg14,cyg15,cyg16,cyg17,cyg18,cyg19,cyg20,cyg21,cyg22,cyg23,cyg24,cyg25,cyg26,cyg27,cyg28,cyg29,cyg30,cyg31,coung1,coung2,coung3,coung4,coung5,coung6,coung7,coung8,coung9,coung10,coung11,coung12,coung13,coung14,coung15,coung16,coung17,coung18,coung19,coung20,coung21,coung22,coung23,coung24,coung25,coung26,coung27,coung28,coung29,coung30,coung31,coung32,coung33,coung34,coung35,coung36,coung37,coung38,coung39,coung40,coung41,coung42,rrg1,rrg2,rrg3,rrg4,rrg5,rrg6,rrg7,rrg8,rrg9,indg1,indg2,indg3,indg4,indg5,indg6,indg7,indg8,indg9,indg10,logAmountissd,_pscore,_treated,_support,_weight,_WeeklyPrice,_id,_n1,_nn,_pdif,greenplunge
83417KDN5=,98.4509,12/28/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,2.2288001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.7992842719614994,Treated,On support,1,94.343,704478,670565,1,.0000554847737251,1
83417KDN5=,98.0853,12/29/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,2.2569001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.799640923734465,Treated,On support,1,100.357,704525,670568,1,.0000373981482504,1
83417KDN5=,98.11369999999999,12/30/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,6.2551999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8464467856786648,Treated,On support,1,101.445,709708,671026,1,.0000501232933438,1
83417KDN5=,98.2509,1/1/2016,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,3.5855999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8160674708227296,Treated,On support,1,102.5784,706645,670702,1,.0001144136192306,1
83417KDN5=,98.43040000000001,1/5/2016,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,6.4200001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8482065212623056,Treated,On support,1,103.2085,709827,671040,1,.0000532875113993,1
83417KDN5=,98.73309999999999,1/6/2016,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,7.2063999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8564185711568073,Treated,On support,1,105.852,710439,671118,1,.0001040592916718,1
83417KDN5=,98.8977,1/7/2016,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,6.2361002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8462419689002016,Treated,On support,1,99.9342,709696,671024,1,6.83807646029e-06,1
83417KDN5=,99.03570000000001,1/8/2016,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,17.504801,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.937053210185592,Treated,On support,1,98.98999999999999,714600,671624,1,.0001651686299622,1
83417KDN5=,99.0367,1/11/2016,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,.289,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.7737540747454494,Treated,On support,1,112.557,700646,670400,1,.0000210607313018,1
83417KDN5=,99.2286,1/12/2016,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,6.3571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8475364622463262,Treated,On support,1,97.14,709769,671037,1,.0000480563591502,1
